品番,SKU品番,カラーコード,サイズコード,商品名,販売計画No,開始日時,終了日時,ステータス,価格（%）,プランアイコンID1,プランアイコンID2,プランアイコンID3,発送予定日
cr25aw01141P,cr25aw01141-39-011,39,01,"2wayノーカラーパファーコート 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw01141P,cr25aw01141-39-011,39,01,"2wayノーカラーパファーコート 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw01141P,cr25aw01141-39-011,39,01,"2wayノーカラーパファーコート 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw01141P,cr25aw01141-39-011,39,01,"2wayノーカラーパファーコート 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw01141P,cr25aw01141-39-021,39,02,"2wayノーカラーパファーコート 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,,,
cr25aw01141P,cr25aw01141-39-021,39,02,"2wayノーカラーパファーコート 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw01141P,cr25aw01141-39-021,39,02,"2wayノーカラーパファーコート 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw01141P,cr25aw01141-39-021,39,02,"2wayノーカラーパファーコート 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw01141P,cr25aw01141-39-021,39,02,"2wayノーカラーパファーコート 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw01141P,cr25aw01141-39-031,39,03,"2wayノーカラーパファーコート 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,,,
cr25aw01141P,cr25aw01141-39-031,39,03,"2wayノーカラーパファーコート 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw01141P,cr25aw01141-39-031,39,03,"2wayノーカラーパファーコート 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw01141P,cr25aw01141-39-031,39,03,"2wayノーカラーパファーコート 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw01141P,cr25aw01141-39-031,39,03,"2wayノーカラーパファーコート 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw01145P,cr25aw01145-26-011,26,01,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,,,
cr25aw01145P,cr25aw01145-26-011,26,01,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw01145P,cr25aw01145-26-011,26,01,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw01145P,cr25aw01145-26-011,26,01,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw01145P,cr25aw01145-26-011,26,01,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw01145P,cr25aw01145-26-021,26,02,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,,,
cr25aw01145P,cr25aw01145-26-021,26,02,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw01145P,cr25aw01145-26-021,26,02,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw01145P,cr25aw01145-26-021,26,02,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw01145P,cr25aw01145-26-021,26,02,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw01145P,cr25aw01145-26-031,26,03,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,,,
cr25aw01145P,cr25aw01145-26-031,26,03,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw01145P,cr25aw01145-26-031,26,03,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw01145P,cr25aw01145-26-031,26,03,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw01145P,cr25aw01145-26-031,26,03,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw01145P,cr25aw01145-03-011,03,01,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,,,
cr25aw01145P,cr25aw01145-03-011,03,01,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw01145P,cr25aw01145-03-011,03,01,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw01145P,cr25aw01145-03-011,03,01,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw01145P,cr25aw01145-03-011,03,01,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw01145P,cr25aw01145-03-021,03,02,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,,,
cr25aw01145P,cr25aw01145-03-021,03,02,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw01145P,cr25aw01145-03-021,03,02,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw01145P,cr25aw01145-03-021,03,02,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw01145P,cr25aw01145-03-021,03,02,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw01145P,cr25aw01145-03-031,03,03,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,,,
cr25aw01145P,cr25aw01145-03-031,03,03,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw01145P,cr25aw01145-03-031,03,03,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw01145P,cr25aw01145-03-031,03,03,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw01145P,cr25aw01145-03-031,03,03,"コーデュロイシートダウンコート 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw09163P,cr25aw09163-21-011,21,01,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,,,
cr25aw09163P,cr25aw09163-21-011,21,01,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw09163P,cr25aw09163-21-011,21,01,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw09163P,cr25aw09163-21-011,21,01,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw09163P,cr25aw09163-21-011,21,01,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw09163P,cr25aw09163-21-021,21,02,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,,,
cr25aw09163P,cr25aw09163-21-021,21,02,"ウールリヨセルハイネックニット 受注期間 - 11/17 23:59",1,,,,,,,,
