品番,サイズコード,"サイズ（ / 区切り）",商品名
cr24aw09063,02,55cm/9cm/48cm/116cm/58cm/73cm/18cm/102cm,シャギークルーネックルーズニット
cr24aw09063,03,63cm/9cm/50cm/120cm/60cm/78cm/20cm/106cm,シャギークルーネックルーズニット
cr24aw01042,01,116cm/39cm/111cm/56cm/60cm/60cm/148cm/170cm/1600g,アジャスタブルウールロングコート
cr24aw01042,02,120cm/40cm/114cm/57cm/61cm/61cm/151cm/170cm/1650g,アジャスタブルウールロングコート
cr24aw01042,03,124cm/41cm/117cm/58cn/62cn/62cn/154cn/170cn/1700g,アジャスタブルウールロングコート
cr24aw04701,01,62cm/6.5cm/64cm/120cm/60cm/46cm/52cm/720g,2wayウールリバーショートコート
cr24aw04701,02,64cm/6.5cm/65cm/123cm/62cm/48cm/53cm/790g,2wayウールリバーショートコート
cr24aw04701,03,66cm/6.5cm/66cm/126cm/64cm/50cm/54cm/800g,2wayウールリバーショートコート
cr24aw05611,01,65cm～72cm/5cm/96cm～112cm/33cm/64cm/71cm/56cm,アシンメトリーツータックパンツ
cr24aw05611,02,69cm～76cm/5cm/100cm～116cm/34cm/66cm/74cm/59cm,アシンメトリーツータックパンツ
cr24aw05611,03,73cm～80cm/5cm/104cm～120cm/35cm/68cm/77cm/62cm,アシンメトリーツータックパンツ
cr24aw05506,01,56cm/67cm/46cm/44cm/115cm/111cm/43cm/55cm/23cm,バックステッチレギュラーシャツ
cr24aw05506,02,58cm/69cm/47cm/45cm/118cm/114cm/44cm/57cm/24cm,バックステッチレギュラーシャツ
cr24aw05506,03,59cm/71cm/48cm/46cm/121cm/117cm/45cm/59cm/24cm,バックステッチレギュラーシャツ
cr24aw06609,01,60cm/58cm/116cm/116cm/48cm/77cm/40cm/18cm,コットンミックスカノコニット
cr24aw06609,02,62cm/60cm/120cm/120cm/49cm/79cm/41cm/18cm,コットンミックスカノコニット
cr24aw06609,03,64cm/62cm/124cm/124cm/50cm/81cm/42cm/19cm,コットンミックスカノコニット
cr24aw09062,01,64cm/5cm/100cm/68cm/33cm/68cm/37cm/101cm,サイドシームレスニットパンツ
cr24aw09062,02,68cm/5cm/104cm/70cm/35cm/70cm/38cm/105cm,サイドシームレスニットパンツ
cr24aw09062,03,72cm/5cm/106cm/72cm/36cm/72cm/39cm/108cm,サイドシームレスニットパンツ
cr24aw19059,01,64cm～78cm/4cm/101cm/163cm/90cm,キュプラブレンドナロースカート
cr24aw19059,02,68cm～82cm/4cm/105cm/170cm/94cm,キュプラブレンドナロースカート
cr24aw19059,03,72cm～86cm/4cm/109cm/177cm/97cm,キュプラブレンドナロースカート
cr24aw06518,01,119cm/54cm/6.5cm/25cm/80cm/111cm/77cm/24cm/35cm,ジョーゼットシェイプワンピース
cr24aw06518,02,123cm/55cm/6.5cm/25cm/84.5cm/115.5cm/79cm/24cm/35.5cm,ジョーゼットシェイプワンピース
cr24aw06518,03,127cm/56cm/6.5cm/25cm/89cm/120cm/81cm/24cm/36cm,ジョーゼットシェイプワンピース
cr24aw09060,05,"/12cm/122cm/58cm : 64cm/58cm/19cm//57cm/41cm/18cm/100cm/52cm : 48cm/47cm/100cm",ケープレイヤードVネックベスト
cr24aw09060,06,"/12cm/122cm/58cm : 64cm/61cm/19cm//61cm/41cm/18cm/100cm/52cm : 48cm/47cm/100cm",ケープレイヤードVネックベスト
cr24aw03057,01,68.5cm/39cm/95cm/47.5cm/78.5cm/11cm/100cm,ダブルテーラードジャケット
cr24aw03057,02,70.5cm/40cm/98cm/49cm/80.5cm/11cm/103cm,ダブルテーラードジャケット
cr24aw03057,03,72.5cm/41cm/101cm/50.5cm/82.5cm/11cm/106cm,ダブルテーラードジャケット
cr24aw04054,01,63cm/127cm/64cm/63cm/25cm/79cm/103cm-127cm/970g,フェイクレザージップブルゾン
cr24aw04054,02,64cm/132cm/66cm/66cm/26cm/81cm/108cm-132cm/1060g,フェイクレザージップブルゾン
cr24aw04054,03,65cm/136cm/68cm/69cm/26cm/83cm/112cm-136cm/1095g,フェイクレザージップブルゾン
cr24aw23051,01,64cm～79cm/4cm/112cm/73cm/32cm/70cm/102cm,マットサテンカーゴパンツ
cr24aw23051,02,68cm～83cm/4cm/116cm/75cm/33cm/72cm/105cm,マットサテンカーゴパンツ
cr24aw23051,03,72cm～87cm/4cm/120cm/77cm/34cm/74cm/108cm,マットサテンカーゴパンツ
cr24aw06418,01,,ボックスタックキャミワンピース
cr24aw06418,02,,ボックスタックキャミワンピース
cr24aw06418,03,,ボックスタックキャミワンピース
cr24aw19052,01,66cm～70cm/5cm/99cm/266cm/90cm,フェイクレザードレープスカート
cr24aw19052,02,69cm～73cm/5cm/102cm/269cm/93cm,フェイクレザードレープスカート
cr24aw19052,03,72cm～76cm/5cm/105cm/272cm/96cm,フェイクレザードレープスカート
cr24aw06053,01,64cm/10cm/58cm/126cm/63cm/41cm/24cm/76cm,ビッグポケットハイネックブラウス
cr24aw06053,02,66cm/10cm/59cm/129cm/65cm/42cm/25cm/80cm,ビッグポケットハイネックブラウス
cr24aw06053,03,68cm/10cm/60cm/132cm/66cm/43cm/26cm/84cm,ビッグポケットハイネックブラウス
cr24aw05809,01,56cm/9cm/35cm/36cm/84cm/42cm/35cm/18cm,シルクブレンドハイネックトップス
cr24aw05809,02,59cm/9cm/35cm/37cm/88cm/44cm/36cm/19cm,シルクブレンドハイネックトップス
cr24aw05809,03,62cm/9cm/35cm/38cm/92cm/46cm/37cm/20cm,シルクブレンドハイネックトップス
cr24aw03061,01,58cm/106cm/105cm/53cm/66cm/32cm/79cm,ツイーディヘリンボンジャケット
cr24aw03061,02,59cm/109cm/108cm/55cm/68cm/33cm/81cm,ツイーディヘリンボンジャケット
cr24aw03061,03,60cm/112cm/111cm/56cm/70cm/34cm/83cm,ツイーディヘリンボンジャケット
cr24aw07907,99,/44mm/16mm/19.1mm/5mm/19mm/2.2～4mm/5g//17.8mm/19mm/4～5mm/4g,フープライクイヤーカフセット
cr24aw07807,99,約29mm/約13～14mm/17mm/2.2～2.7mm/8g,ツイストカーブチェーンピアス
cr24aw07707,99,"※ 850mm/0.8mm/20mm/7mm/5mm",マルチウェイドロップネックレス
cr24aw07607,99,450mm/21.6mm/11.6mm/2.2～2.7mm/30mm/52g,ツイストカーブチェーンネックレス
cr24aw07516,05,89cm/2.5cm/60～75cm/3.6cm/5.1cm/0.4～0.58cm,ボタンスタッズレザーベルト
cr24aw07516,06,101.5cm/2.5cm/72.5～87.5cm/3.6cm/5.1cm/0.4～0.58cm,ボタンスタッズレザーベルト
cr24ss18030,01,32cm/75.6cm～94.6cm/88.5cm/36cm～44cm/92cm,ナイロンマルチウェイセットアップ
cr24ss18030,02,"32.5cm/ 79.6cm～98.6cm/92.5cm/37cm～45cm/96cm",ナイロンマルチウェイセットアップ
cr24ss18030,03,33cm/83.6cm～102.6cm/96.5cm/38cm～46cm/100cm,ナイロンマルチウェイセットアップ
cr24ss19034,01,92cm/67cm/98cm/114cm/4.5cm,ヴィンテージライクデニムスカート
cr24ss19034,02,95cm/70cm/101cm/118cm/4.5cm,ヴィンテージライクデニムスカート
cr24ss19034,03,98cm/73cm/104cm/122cm/4.5cm,ヴィンテージライクデニムスカート
cr24ss06024,01,64cm/60cm/47.2cm/8.6cm/118cm/47.8cm/48cm/25cm/120cm,ソフトリネンシアーシャツ
cr24ss06024,02,67cm/62cm/48.5cm/8.8cm/121cm/48.8cm/40.5cm/26cm/123cm,ソフトリネンシアーシャツ
cr24ss06024,03,70cm/64cm/49.8cm/9cm/124cm/49.8cm/51cm/27cm/126cm,ソフトリネンシアーシャツ
cr24ss07027,01,54cm/39.5cm/10cm/97cm/35cm/26.5cm/28cm/97cm,シルケットピンタックT
cr24ss07027,02,57cm/40.5cm/10.25cm/100cm/37cm/28cm/29.5cm/100cm,シルケットピンタックT
cr24ss07027,03,60cm/41.5cm/10.5cm/103cm/39cm/29.5cm/31cm/103cm,シルケットピンタックT
cr24ss03021,01,63.5cm/39cm/95cm/52cm/28.5cm/38cm/99cm,ハーフスリーブボクシージャケット
cr24ss03021,02,66.4cm/40cm/98cm/53cm/30.5cm/38.8cm/102cm,ハーフスリーブボクシージャケット
cr24ss03021,03,69.3cm/41cm/101cm/54cm/32.5cm/39.6cm/105cm,ハーフスリーブボクシージャケット
cr24ss07031,01,53cm/33.5cm/9.8cm/90cm/43cm,マルチカラーノースリーブトップス
cr24ss07031,02,55.5cm/34.5cm/9.9cm/93cm/44cm,マルチカラーノースリーブトップス
cr24ss07031,03,58cm/35.5cm/10cm/96cm/45cm,マルチカラーノースリーブトップス
cr24ss11029,01,62cm～69.2cm/94cm/35.5cm/64cm/64.4cm/44cm/5cm,サイドタックスラブワイドパンツ
cr24ss11029,02,66cm～73.2cm/98cm/36.2cm/66cm/66.4cm/46cm/5cm,サイドタックスラブワイドパンツ
cr24ss11029,03,70cm～77.2cm/102cm/37.1cm/68cm/68.4cm/48cm/5cm,サイドタックスラブワイドパンツ
cr24ss09036,99,32cm/70cm～/28cm～36cm,マルチウェイジップニットビスチェ
cr24ss18034,01,123cm/39cm/33cm/100cm/91.2cm/104cm/57.5cm/750g,ディープネックセットワンピース
cr24ss18034,02,"128cm/40cm/33,5cm/103cm/94.2cm/107cm/58.5cm/800g",ディープネックセットワンピース
cr24ss18034,03,133cm/41cm/34cm/106cm/97.2cm/110cm/59.5cm/840g,ディープネックセットワンピース
cr24ss10026,00,67cm/100cm/28cm/66cm/64cm/45cm/4cm,ソフトカーヴィデニムスラックス
cr24ss10026,01,70cm/104cm/30cm/67cm/67.8cm/45.8cm/4.2cm,ソフトカーヴィデニムスラックス
cr24ss10026,02,73cm/108cm/32cm/68cm/69.2cm/46.4cm/4.3cm,ソフトカーヴィデニムスラックス
cr24ss10026,03,76cm/112cm/34cm/70cm/70.6cm/47cm/4.5cm,ソフトカーヴィデニムスラックス
cr24ss19020,01,90cm/65～77.6cm/99cm/107cm/5.5cm,バックタックナロースカート
cr24ss19020,02,93cm/69～81.6cm/103cm/111cm/5.5cm,バックタックナロースカート
cr24ss19020,03,96cm/73～85.6cm/107cm/115cm/5.5cm,バックタックナロースカート
cr24ss06031,01,"60.5cm/39cm/46,5cm/93cm/81cm/38.4cm/59cm/34cm",フレアスリーブメッシュシャツ
cr24ss06031,02,62cm/40cm/47.5cm/96cm/84cm/39.4cm/61cm/35cm,フレアスリーブメッシュシャツ
cr24ss06031,03,63.5cm/41cm/48.5cm/99cm/87cm/40.4cm/63cm/36cm,フレアスリーブメッシュシャツ
cr24ss07023,01,57.5cm/34cm/11cm/7cm/90cm/84cm/30cm/59cm/25cm,2wayハニカムサーマルカットソー
cr24ss07023,02,60.5cm/35cm/11.25cm/7.25cm/93cm/87cm/32cm/61cm/26cm,2wayハニカムサーマルカットソー
cr24ss07023,03,63.5cm/36cm/11.5cm/7.5cm/96cm/90cm/33cm/63cm/27cm,2wayハニカムサーマルカットソー
cr24ss03033,01,68cm/39cm/95cm/52.5cm/58cm/11cm/100cm,ダブルブレストツイルジャケット
cr24ss03033,02,70cm/40cm/98cm/53.5cm/60cm/11cm/103cm,ダブルブレストツイルジャケット
cr24ss03033,03,72cm/41cm/101cm/54.5cm/62cm/11cm/106cm,ダブルブレストツイルジャケット
cr24ss01022,01,114cm/117cm/79cm/169cm/920g,ドレープステンカラーコート
cr24ss01022,02,119cm/120cm/82cm/172cm/1000g,ドレープステンカラーコート
cr24ss01022,03,128cm/123cm/85cm/175cm/1008g,ドレープステンカラーコート
cr23aw11005,01,66cm/97cm/25cm/68cm/61cm/46cm/54cm/4cm,ウォッシャブルフレアパンツ
cr23aw11005,02,70cm/101cm/26.5cm/71cm/63cm/48cm/56cm/4cm,ウォッシャブルフレアパンツ
cr23aw11005,03,76cm/105cm/28cm/73cm/65cm/50cm/58cm/4cm,ウォッシャブルフレアパンツ
cr23aw09016,01,56cm/55cm/120cm/42cm/67cm/18cm/113cm,ブークレークルーネックニット
cr23aw09016,02,60cm/58cm/128cm/44cm/69cm/18cm/121cm,ブークレークルーネックニット
cr23aw05003,01,72cm/43cm/132cm/63cm/62.5cm/28・40cm/136cm/9.5cm/820g,スタンドカラーダウンジャケット
cr23aw05003,02,76cm/45cm/136cm/64.5cm/64.5cm/28・42cm/140cm/9.5cm/880g,スタンドカラーダウンジャケット
cr23aw01002,01,"79cm/40cm/117cm/53cm/60cm/36cm/142cm/1,100g",ビッグカラーミディコート
cr23aw01002,02,"84cm/42cm/122cm/55cm/63cm/38.5cm/147cm/1,200g",ビッグカラーミディコート
cr23aw14018,99,69cm/52cm/69cm/1.1cm×2cm,ツイストチェーンネックレス
cr23aw18008,01,121cm/35cm/86cm/34cm/67cm/17cm/172cm/7cm/28cm/710g,フロントフライニットワンピース
cr23aw18008,02,127cm/36cm/89cm/34cm/69cm/17cm/175cm/7cm/29cm/870g,フロントフライニットワンピース
cr23aw18008,03,133cm/37cm/92cm/34cm/71cm/17cm/178cm/7cm/30.5cm/900g,フロントフライニットワンピース
cr23aw19015,01,89cm/63~72cm/101cm/107cm/33cm,フェイクレザーナロースカート
cr23aw19015,02,92cm/67~76cm/105cm/111cm/36cm,フェイクレザーナロースカート
cr23aw19015,03,95cm/72~81cm/110cm/116cm/39cm,フェイクレザーナロースカート
cr23aw09014,01,48cm/62cm/52cm/106cm/44cm/49cm/28cm/106cm/28cm,メランジディープVネックニット
cr23aw09014,02,51cm/65cm/54cm/112cm/46cm/50cm/30cm/112cm/28cm,メランジディープVネックニット
cr23aw06019,01,47cm/65cm/38cm/166.5cm/46.5cm/58cm/25.5~29.5cm/195cm,ボタンスリーブギャザーシャツ
cr23aw06019,02,50cm/68cm/39cm/169.5cm/47.5cm/59cm/26~30cm/198cm,ボタンスリーブギャザーシャツ
cr23aw01001,01,"117cm/43cm/112cm/49.5cm/55cm/32cm/164cm/1,700g",カスタムメルトンマキシコート
cr23aw01001,02,"121cm/45cm/114cm/50.5cm/57cm/33cm/166cm/1,760g",カスタムメルトンマキシコート
cr23aw01001,03,"128cm/47cm/116cm/51.5cm/59cm/34cm/168cm/1,840g",カスタムメルトンマキシコート
cr23aw07007,01,62cm/32cm/67.5cm/29cm/78cm,フロッキーチュールトップス
cr23aw07007,02,68cm/34cm/68.5cm/31cm/84cm,フロッキーチュールトップス
cr23aw06006,01,71cm/120cm/51cm/52cm/46.5cm/20-26cm/120cm,アセテートパネルシームシャツ
cr23aw06006,02,75cm/124cm/53cm/54cm/48.5cm/22-28cm/124cm,アセテートパネルシームシャツ
cr23aw11004,01,68cm/99.5cm/28.5cm/64.5cm/67cm/50cm,ウールブレンドスラックス
cr23aw11004,02,72cm/103.5cm/29cm/67.5cm/69cm/51cm,ウールブレンドスラックス
cr23aw11004,03,78cm/109.5cm/30cm/70.5cm/72cm/53cm,ウールブレンドスラックス
cr23aw18011,01,116-126cm/88cm/100cm/112cm,リングジャカードワンピース
cr23aw18011,02,120-130cm/91cm/103cm/115cm,リングジャカードワンピース
cr23aw18011,03,125-135cm/95cm/106cm/119cm,リングジャカードワンピース
cr23aw19010,01,89cm/67~70cm/105cm/231cm,ドレープサテンマキシスカート
cr23aw19010,02,92cm/70~73cm/108cm/234cm,ドレープサテンマキシスカート
cr23aw19010,03,95cm/74~77.5cm/111cm/237cm,ドレープサテンマキシスカート
cr23aw03007,01,71cm/97cm/39cm/58cm/38cm/10.5cm/102cm,ヘザーカラーミニマルジャケット
cr23aw03007,02,75cm/101cm/41cm/62cm/40cm/10.5cm/106cm,ヘザーカラーミニマルジャケット
