品番,サイズコード,"サイズ（ / 区切り）",商品名
cr25aw18164,01,119cm/35cm/86cm/8.5cm/79cm/61.5cm/28cm/17cm,フロントフライニットワンピース
cr25aw18164,02,125cm/36cm/89cm/8.5cm/81.5cm/63.5cm/29cm/17cm,フロントフライニットワンピース
cr25aw18164,03,131cm/37cm/92cm/8.5cm/84cm/65.5cm/30cm/17cm,フロントフライニットワンピース
cr25aw19161,01,93cm/約65cm～75.5cm/98cm/約105cm/48cm/39cm,3wayスリットIラインスカート
cr25aw19161,02,96cm/約69cm～80.5cm/102cm/約109cm/49.5cm/40.5cm,3wayスリットIラインスカート
cr25aw19161,03,99cm/約73cm～85cm/106cm/約113cm/51cm/42cm,3wayスリットIラインスカート
cr25aw09165,01,47cm/37cm/95cm/11.5cm/57cm/75.5cm/34cm/15cm/77cm,2wayハイネックスリムカーディガン
cr25aw09165,02,49cm/38cm/98cm/11.5cm/59cm/78cm/35cm/15cm/80cm,2wayハイネックスリムカーディガン
cr25aw09165,03,51cm/39cm/101cm/11.5cm/61cm/80.5cm/36cm/15cm/83cm,2wayハイネックスリムカーディガン
cr25aw09162,02,60cm/46cm/110cm/55cm/78cm/34cm/16cm/76cm,カシミアブレンドメリノウールニット
cr25aw09162,03,65cm/48cm/114cm/57cm/81cm/36cm/17cm/80cm,カシミアブレンドメリノウールニット
cr25aw03159,01,70cm/40cm/98cm/60cm/80cm/37.5cm/約640g,ソフトツイードオーバージャケット
cr25aw03159,02,72cm/41cm/101cm/62cm/82.5cm/38.5cm/約660g,ソフトツイードオーバージャケット
cr25aw03159,03,75cm/43cm/107cm/66cm/87.5cm/40.5cm/約720g,ソフトツイードオーバージャケット
cr25aw01140,01,71cm/56cm/121.5cm/50cm/78cm/55cm/約990g,リバーフーデッドミドルコート
cr25aw01140,02,73cm/57cm/124.5cm/52cm/80.5cm/56cm/約1040g,リバーフーデッドミドルコート
cr25aw01140,03,75cm/58cm/127.5cm/54cm/83cm/57cm/約1080g,リバーフーデッドミドルコート
cr25aw01138,01,118cm/58cm/122cm/49.5cm/78.5cm/46cm/約1420g,リバーロングステンカラーコート
cr25aw01138,02,122cm/59cm/125cm/51cm/80.5cm/47cm/約1490g,リバーロングステンカラーコート
cr25aw01138,03,126cm/60cm/128cm/52.5cm/82.5cm/48cm/約1540g,リバーロングステンカラーコート
cr25aw15173,99,約2L/14cm/27cm/7.5cm/75cm～145cm/7mm/14cm/7.5cm/約370g,マルチウェイソフトレザーバッグ
cr25aw14166,99,23cm/約54cm,ストラップフィットコットンビーニー
cr25aw06139,01,125cm/37cm/98cm/79.5cm/61cm/45cm/22cm/122cm,ベルベットフードワンピース
cr25aw06139,02,129cm/38cm/101cm/82cm/63cm/47cm/22cm/125cm,ベルベットフードワンピース
cr25aw06139,03,133cm/39cm/104cm/84.5cm/65cm/49cm/22cm/128cm,ベルベットフードワンピース
cr25aw11155,01,100cm/64cm/約58cm～75.5cm/108cm/72cm/56cm/30.5cm/68.5cm,フリーウエストベルテッドパンツ
cr25aw11155,02,103cm/68cm/約62cm～80cm/112cm/74.5cm/58cm/31.5cm/70.5cm,フリーウエストベルテッドパンツ
cr25aw11155,03,106cm/72cm/約66cm～85cm/116cm/77cm/60cm/32.5cm/72.5cm,フリーウエストベルテッドパンツ
cr25aw11155,66,110cm/72cm/約66cm～85cm/116cm/77cm/60cm/32.5cm/76.5cm,フリーウエストベルテッドパンツ
