"ä˙ä‘","çwì¸åèêî","íjê´","èóê´","íjê´(âÔàı)","íjê´(îÒâÔàı)","èóê´(âÔàı)","èóê´(îÒâÔàı)","çwì¸çáåv","çwì¸ïΩãœ"
"2026-01-31","17","0","6","0","0","6","0","298690","17570.0000"
"2026-02-01","18","0","2","0","0","2","0","388750","21597.2222"
"2026-02-02","13","0","4","0","0","4","0","170390","13106.9231"
"2026-02-03","10","0","5","0","0","5","0","197950","19795.0000"
"2026-02-04","11","0","3","0","0","3","0","169950","15450.0000"
"2026-02-05","13","0","8","0","0","8","0","158780","12213.8462"
"2026-02-06","14","0","5","0","0","5","0","250850","17917.8571"
"2026-02-07","14","0","1","0","0","1","0","200110","14293.5714"
"2026-02-08","24","0","6","0","0","6","0","405730","16905.4167"
"2026-02-09","5","0","1","0","0","1","0","76960","15392.0000"
"2026-02-10","0","0","0","0","0","0","0","0","0"
"2026-02-11","0","0","0","0","0","0","0","0","0"
"2026-02-12","2","0","1","0","0","1","0","0","0.0000"
"2026-02-13","0","0","0","0","0","0","0","0","0"
"2026-02-14","0","0","0","0","0","0","0","0","0"
"2026-02-15","0","0","0","0","0","0","0","0","0"
"2026-02-16","0","0","0","0","0","0","0","0","0"
"2026-02-17","0","0","0","0","0","0","0","0","0"
"2026-02-18","0","0","0","0","0","0","0","0","0"
"2026-02-19","0","0","0","0","0","0","0","0","0"
"2026-02-20","0","0","0","0","0","0","0","0","0"
"2026-02-21","0","0","0","0","0","0","0","0","0"
"2026-02-22","0","0","0","0","0","0","0","0","0"
"2026-02-23","0","0","0","0","0","0","0","0","0"
"2026-02-24","0","0","0","0","0","0","0","0","0"
"2026-02-25","0","0","0","0","0","0","0","0","0"
"2026-02-26","0","0","0","0","0","0","0","0","0"
"2026-02-27","0","0","0","0","0","0","0","0","0"
"2026-02-28","0","0","0","0","0","0","0","0","0"
"çáåv","124592","331","59857","331","0","59857","0","2026753480","16267.123731861"
